Admin0,Population,CaseCount,DeathCount,CasesPer100K,DeathsPerM,CFR
Botswana,2351624,67875,179,2886.3,76.12,0.0026
Tunisia,11818618,228059,1355,1929.66,114.65,0.0059
Eswatini,1160164,22122,134,1906.8,115.5,0.0061
Libya,6871287,88215,919,1283.82,133.74,0.0104
South Africa,59308690,699270,6586,1179.03,111.05,0.0094
Namibia,2540915,27342,421,1076.07,165.69,0.0154
Zimbabwe,14862927,97366,681,655.09,45.82,0.007
Morocco,36910557,200038,892,541.95,24.17,0.0045
Zambia,18383956,97083,267,528.09,14.52,0.0028
Gabon,2225728,11496,57,516.51,25.61,0.005
Lesotho,2142252,10618,36,495.65,16.8,0.0034
Mauritania,4649660,21030,166,452.29,35.7,0.0079
Mozambique,31255435,73009,252,233.59,8.06,0.0035
Rwanda,12952209,29364,115,226.71,8.88,0.0039
Djibouti,988001,2028,6,205.26,6.07,0.003
Equatorial Guinea,1402985,2478,15,176.62,10.69,0.0061
Burundi,11890781,17494,0,147.12,0,0
Kenya,53771300,68590,321,127.56,5.97,0.0047
Togo,8278737,10477,25,126.55,3.02,0.0024
Malawi,19129955,23002,269,120.24,14.06,0.0117
Algeria,43851043,51239,712,116.85,16.24,0.0139
Congo (Brazzaville),5518092,6085,93,110.27,16.85,0.0153
Angola,32866268,33899,182,103.14,5.54,0.0054
Egypt,102334403,104403,4098,102.02,40.05,0.0393
Ghana,31072945,27281,230,87.8,7.4,0.0084
Ethiopia,114963583,100769,875,87.65,7.61,0.0087
Guinea-Bissau,1967997,1613,16,81.96,8.13,0.0099
Gambia,2416664,1925,24,79.66,9.93,0.0125
Uganda,45741000,35977,335,78.65,7.32,0.0093
Eritrea,3546427,2762,54,77.88,15.23,0.0196
Cote d'Ivoire,26378275,19567,90,74.18,3.41,0.0046
Mali,20250834,14011,147,69.19,7.26,0.0105
Senegal,16743930,11270,76,67.31,4.54,0.0067
Madagascar,27691019,17400,338,62.84,12.21,0.0194
Cameroon,26545864,13637,177,51.37,6.67,0.013
Central African Republic,4829764,2473,10,51.2,2.07,0.004
Guinea,13132792,5596,42,42.61,3.2,0.0075
Sudan,43849269,18545,491,42.29,11.2,0.0265
South Sudan,11193729,4422,4,39.5,0.36,0.0009
Congo (Kinshasa),89561404,28004,182,31.27,2.03,0.0065
Liberia,5057676,1463,3,28.93,0.59,0.0021
Burkina Faso,20903278,5712,154,27.33,7.37,0.027
Somalia,15893219,3955,106,24.88,6.67,0.0268
Nigeria,206139587,41494,239,20.13,1.16,0.0058
Sierra Leone,7976985,1230,4,15.42,0.5,0.0033
Benin,12123198,1731,2,14.28,0.16,0.0012
Chad,16425859,2069,15,12.6,0.91,0.0072
Tanzania,59734212,7091,65,11.87,1.09,0.0092
Niger,24206635,2286,86,9.44,3.55,0.0376
